Subject,Sex,DOB,Left Wrist,Right Wrist,Room,PiSystem,task-order,ITI,Timeout,SHAPE1_to_decrement,SHAPE1_to_increment,SHAPE1trials,SHAPE1criterion,SHAPE2size,SHAPE2_zones,SHAPE2trials,SHAPE2criterion,2choicesize,2choicereset,2choiceproblems,2choicetrials,2choicecorrect,MTSsize,MTStrials,MTScriterion,MTSseqsize,MTSseqtrials,MTSseqcriterion
H063,F,6/10/1999,989001040449539,989001040450376,507.03,105,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
H415,F,7/15/2001,989001040449519,989001040450346,507.03,105,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
3-091,F,5/22/2003,989001040454057,989001040452646,507.03,105,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
J729,F,3/31/1997,982091062448789,982091062453231,507.03,105,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
10-017,F,4/15/2010,989001040454179,989001040454133,507.04,104,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
14-069,F,6/7/2014,989001040454243,989001040450437,507.04,104,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
6-088,M,6/9/2006,989001040449975,982091062450228,507.04,104,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
9-105,F,5/28/2009,989001040454073,989001040452926,507.04,104,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
J743,F,4/12/1997,982091062453264,982091062450799,507.04,104,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
10-193,F,10/12/2010,989001040450336,989001040453816,507.05,106,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
12-073,F,5/26/2012,989001040448604,989001040452684,507.05,106,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
J436,M,4/11/1993,989001040450307,982091062450322,507.05,106,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
5-201,F,8/18/2005,989001040450024,989001040454437,507.05,106,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
J721,F,3/27/1997,982091062453391,982091062454058,507.05,106,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
11-163,F,7/15/2011,989001040448789,989001040452722,507.06,107,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
13-014,M,3/4/2013,989001040452509,982091062453818,507.06,107,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
J857,F,4/5/1998,982091062453851,982091062450119,507.06,107,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
13-029,F,4/14/2013,989001040450315,989001040452929,507.07,109 & 110,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
5-069,F,5/26/2005,989001040452499,989001040449555,507.07,109 & 110,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
8-069,F,5/15/2008,989001040450215,989001040452707,507.07,109 & 110,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
H425,F,10/4/2001,982091062453197,982091062450328,507.07,109 & 110,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
J487,F,5/15/1994,982091062453263,982091062454072,507.07,109 & 110,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
J904,M,2/15/1998,989001040450465,982091062453657,507.07,109 & 110,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
FISH1,NA,NA,989002009125723,989002009112544,NA,NA,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
FISH2,NA,NA,989002009229212,0,NA,NA,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
MICHELE1,NA,NA,989001039039939,989001039039961,NA,NA,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
MICHELE2,NA,NA,982091065413918,982091065413935,NA,NA,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
GROUP,NA,NA,999999999999999,,NA,NA,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
